"SNO","name","symbol","date","daily_high","daily_low","open_price","close_price","volume","marketcap","daily_percent_change","liquidity_ratio","true_range","average_true_range","volatility_ratio","daily_percent_change_min_max"
"1","Tether","USDT","2015-02-26","1.2123199701309204","1.1947100162506104","1.21042001247406","1.205739974975586","5.955460071563721","303364.184","-0.3881464988808125","1.963138823126108e-05","0.01760995388031006","0.01760995388031006","1","1.4525830073069184"
"2","Tether","USDT","2015-03-02","0.6078900098800659","0.5683140158653259","0.5712490081787109","0.6065019965171814","3.0325000286102295","152595.9032","5.812509858320275","1.98727486453924e-05","0.03957599401473999","0.028592973947525024","1.3841160449896344","6.510387302227283"
"3","Tether","USDT","2015-03-03","0.6062290072441101","0.604416012763977","0.6051290035247803","0.6062290072441101","3.031130075454712","152527.2164","0.1814501955837451","1.9872716142053135e-05","0.0018129944801330566","0.019666314125061035","0.09218781255114473","0.2990609915508412"
"4","Tether","USDT","2015-03-06","1","1","1","1","92.64720153808594","251600","0","0.00036823212058062775","0","0.014749735593795776","0","0"
"5","Tether","USDT","2015-03-07","1","1","1","1","58196.80078125","251600","0","0.2313068393531399","0","0.011799788475036621","0","0"
"6","Tether","USDT","2015-03-08","1","1","1","1","31.139400482177734","251600","0","0.00012376550271135824","0","0.009833157062530518","0","0"
"7","Tether","USDT","2015-03-09","1","1","1","1","142.9969940185547","251600","0","0.0005683505326651617","0","0.008428420339311873","0","0"
"8","Tether","USDT","2015-03-10","1","1","1","1","49996.69921875","251600","0","0.19871502074224962","0","0.007374867796897888","0","0"
"9","Tether","USDT","2015-03-11","1","1","1","1","49.310699462890625","251600","0","0.0001959884716331106","0","0.006555438041687012","0","0"
"10","Tether","USDT","2015-03-12","1","1","1","1","80418.296875","251600","0","0.31962757104531003","0","0.005899894237518311","0","0"
"11","Tether","USDT","2015-03-13","1","1","1","1","75.27570343017578","251600","0","0.00029918801045379883","0","0.0053635402159257365","0","0"
"12","Tether","USDT","2015-03-14","1","1","1","1","17705.099609375","251600","0","0.07037003024393879","0","0.004916578531265259","0","0"
"13","Tether","USDT","2015-03-15","1","1","1","1","15124.5","251600","0","0.06011327503974563","0","0.004538380182706392","0","0"
"14","Tether","USDT","2015-03-16","1","1","1","1","49631.5","251600","0","0.1972635135135135","0","0.004214210169655936","0","0"
"15","Tether","USDT","2015-03-17","1","1","1","1","4284.02001953125","251600","0","0.017027106595911168","0","0.003933262825012207","0","0"
"16","Tether","USDT","2015-03-18","1","1","1","1","202.34300231933594","251600","0","0.0008042249694727183","0","0.003687433898448944","0","0"
"17","Tether","USDT","2015-03-19","1","1","1","1","713.947021484375","251600","0","0.0028376272714005367","0","0.0034705260220695942","0","0"
"18","Tether","USDT","2015-03-20","1","1","1","1","132.7270050048828","251600","0","0.0005275318163946058","0","0.003277719020843506","0","0"
"19","Tether","USDT","2015-03-21","1","1","1","1","206.26800537109375","251600","0","0.0008198251405846334","0","0.0031052074934306896","0","0"
"20","Tether","USDT","2015-03-22","1","1","1","1","66.68250274658203","251600","0","0.00026503379470024655","0","0.0029499471187591554","0","0"
"21","Tether","USDT","2015-03-23","1","1","1","1","65.83820343017578","251600","0","0.00026167807404680357","0","0.0028094734464372906","0","0"
"22","Tether","USDT","2015-03-24","1","1","1","1","1179.43994140625","251600","0","0.004687758113697337","0","0.0026817701079628682","0","0"
"23","Tether","USDT","2015-03-25","1","1","1","1","92.35220336914062","251600","0","0.00036705963183283235","0","0.0025651714076166568","0","0"
"24","Tether","USDT","2015-03-26","1","1","1","1","2.3080999851226807","251600","0","9.17368833514579e-06","0","0.0024582892656326294","0","0"
"25","Tether","USDT","2015-03-27","1","1","1","1","4.7949299812316895","251600","0","1.905775032286045e-05","0","0.002359957695007324","0","0"
"26","Tether","USDT","2015-03-28","1","1","1","1","17.04400062561035","251600","0","6.774245081721126e-05","0","0.002269190091353196","0","0"
"27","Tether","USDT","2015-03-29","1","1","1","1","20.637699127197266","251600","0","8.202583118917832e-05","0","0.0021851460138956704","0","0"
"28","Tether","USDT","2015-03-30","1","1","1","1","494.7019958496094","251600","0","0.001966224148845824","0","0.002107105084827968","0","0"
"29","Tether","USDT","2015-03-31","1","1","1","1","37.052101135253906","251600","0","0.0001472659027633303","0","0.0020344462887994176","0","0"
"30","Tether","USDT","2015-04-01","1","1","1","1","14.487000465393066","251600","0","5.7579493105695814e-05","0","0.0019666314125061034","0","0"
"31","Tether","USDT","2015-04-02","1","1","1","1","79969.8984375","251600","0","0.3178453832968998","0","0.0019031916895220356","0","0"
"32","Tether","USDT","2015-04-03","1","1","1","1","8887.169921875","251600","0","0.035322614951808426","0","0.001843716949224472","0","0"
"33","Tether","USDT","2015-04-04","1","1","1","1","2018.25","251600","0","0.008021661367249603","0","0.0017878467386419122","0","0"
"34","Tether","USDT","2015-04-05","1","1","1","1","2887.050048828125","251600","0","0.011474761720302564","0","0.0017352630110347971","0","0"
"35","Tether","USDT","2015-04-06","1","1","1","1","254.3000030517578","251600","0","0.001010731331684252","0","0.0016856840678623744","0","0"
"36","Tether","USDT","2015-04-07","1","1","1","1","19179","251600","0","0.0762281399046105","0","0.001638859510421753","0","0"
"37","Tether","USDT","2015-04-08","1","1","1","1","1024.199951171875","251600","0","0.004070747023735592","0","0.001594566010140084","0","0"
"38","Tether","USDT","2015-04-09","1","1","1","1","100949","251600","0","0.4012281399046105","0","0.0015526037467153448","0","0"
"39","Tether","USDT","2015-04-10","1","1","1","1","470.2340087890625","251600","0","0.001868974597730773","0","0.0015127933942354643","0","0"
"40","Tether","USDT","2015-04-11","1","1","1","1","2868.800048828125","251600","0","0.011402225949237382","0","0.0014749735593795777","0","0"
"41","Tether","USDT","2015-04-12","1","1","1","1","1970.7900390625","251600","0","0.007833028772108506","0","0.001438998594516661","0","0"
"42","Tether","USDT","2015-04-13","1","1","1","1","46026","251600","0","0.18293322734499204","0","0.0014047367232186453","0","0"
"43","Tether","USDT","2015-04-14","1","1","1","1","50323.80078125","251600","0","0.20001510644375994","0","0.0013720684273298396","0","0"
"44","Tether","USDT","2015-04-15","1","1","1","1","40700.19921875","251600","0","0.16176549768978538","0","0.0013408850539814341","0","0"
"45","Tether","USDT","2015-04-16","1","1","1","1","46909.19921875","251600","0","0.1864435581031399","0","0.0013110876083374024","0","0"
"46","Tether","USDT","2015-04-17","1","1","1","1","50.48160171508789","251600","0","0.00020064229616489622","0","0.0012825857038083284","0","0"
"47","Tether","USDT","2015-04-18","1","1","1","1","48.97309875488281","251600","0","0.00019464665641845316","0","0.0012552966462804915","0","0"
"48","Tether","USDT","2015-04-19","1","1","1","1","21.92639923095703","251600","0","8.714785067947945e-05","0","0.0012291446328163147","0","0"
"49","Tether","USDT","2015-04-20","1","1","1","1","38.263999938964844","251600","0","0.00015208267066361226","0","0.0012040600484731247","0","0"
"50","Tether","USDT","2015-04-21","1","1","1","1","85932.703125","251600","0","0.3415449249801272","0","0.001179978847503662","0","0"
"51","Tether","USDT","2015-04-22","1","1","1","1","40305.6015625","251600","0","0.16019714452503975","0","0.0011568420073565316","0","0"
"52","Tether","USDT","2015-04-23","1","1","1","1","21632","251600","0","0.08597774244833069","0","0.001134595045676598","0","0"
"53","Tether","USDT","2015-04-24","1","1","1","1","20261.80078125","251600","0","0.08053179960751192","0","0.0011131875919845869","0","0"
"54","Tether","USDT","2015-04-25","1","1","1","1","26.462299346923828","251600","0","0.00010517607053626323","0","0.0010925730069478352","0","0"
"55","Tether","USDT","2015-04-26","1","1","1","1","555.43701171875","251600","0","0.0022076192834608504","0","0.0010727080431851474","0","0"
"56","Tether","USDT","2015-04-27","1","1","1","1","17806.19921875","251600","0","0.07077185699026232","0","0.001053552542413984","0","0"
"57","Tether","USDT","2015-04-28","1","1","1","1","42628.1015625","251600","0","0.1694280666236089","0","0.0010350691644768965","0","0"
"58","Tether","USDT","2015-04-29","1","1","1","1","12.186300277709961","251600","0","4.8435215730166776e-05","0","0.0010172231443997088","0","0"
"59","Tether","USDT","2015-04-30","1","1","1","1","613.0689697265625","251600","0","0.0024366811197399146","0","0.0009999820741556458","0","0"
"60","Tether","USDT","2015-05-01","1","1","1","1","48.37969970703125","251600","0","0.000192288154638439","0","0.0009833157062530517","0","0"
"61","Tether","USDT","2015-05-02","1","1","1","1","3.993489980697632","251600","0","1.5872376711834785e-05","0","0.000967195776642346","0","0"
"62","Tether","USDT","2015-05-03","1","1","1","1","1517.8699951171875","251600","0","0.006032869614933178","0","0.0009515958447610178","0","0"
"63","Tether","USDT","2015-05-04","1","1","1","1","83170.796875","251600","0","0.3305675551470588","0","0.0009364911488124303","0","0"
"64","Tether","USDT","2015-05-05","1","1","1","1","21.428600311279297","251600","0","8.516931761239785e-05","0","0.000921858474612236","0","0"
"65","Tether","USDT","2015-05-06","1","1","1","1","10.18809986114502","251600","0","4.04932426913554e-05","0","0.0009076760365412785","0","0"
"66","Tether","USDT","2015-05-07","1","1","1","1","120.47699737548828","251600","0","0.0004788433917944685","0","0.0008939233693209561","0","0"
"67","Tether","USDT","2015-05-08","1","1","1","1","545.5029907226562","251600","0","0.0021681358931743095","0","0.0008805812294803448","0","0"
"68","Tether","USDT","2015-05-09","1","1","1","1","170.76600646972656","251600","0","0.0006787202164933488","0","0.0008676315055173986","0","0"
"69","Tether","USDT","2015-05-10","1","1","1","1","2466.1298828125","251600","0","0.009801788087490064","0","0.000855057135872219","0","0"
"70","Tether","USDT","2015-05-11","1","1","1","1","583.8309936523438","251600","0","0.0023204729477438145","0","0.0008428420339311872","0","0"
"71","Tether","USDT","2015-05-12","1","1","1","1","5.220890045166016","251600","0","2.0750755346446804e-05","0","0.0008309710193687761","0","0"
"72","Tether","USDT","2015-05-13","1","1","1","1","0.11049699783325195","251600","0","4.391772568889187e-07","0","0.0008194297552108765","0","0"
"73","Tether","USDT","2015-05-14","1","1","1","1","2184.610107421875","251600","0","0.00868287006129521","0","0.0008082046900710014","0","0"
"74","Tether","USDT","2015-05-15","1","1","1","1","92.11949920654297","251600","0","0.0003661347345252105","0","0.000797283005070042","0","0"
"75","Tether","USDT","2015-05-16","1","1","1","1","297.447998046875","251600","0","0.0011822257474041137","0","0.0007866525650024414","0","0"
"76","Tether","USDT","2015-05-17","1","1","1","1","682.9249877929688","251600","0","0.00271432825036951","0","0.0007763018733576724","0","0"
